WMS,Component,AVERAGE_DISK_USAGE,STD_DISK_USAGE,CV_DISK_USAGE,MIN_DISK_USAGE,MAX_DISK_USAGE
Airflow,SERVER_USAGE,0.0,0.0,0.0,0.0,0.0
Airflow,WORKFLOW_USAGE,0.0,0.0,0.0,0.0,0.0
Argo,SERVER_USAGE,0.0499999999999971,0.0499999999999971,100.00000000000004,0.0,0.0999999999999943
Argo,WORKFLOW_USAGE,0.3548725637181351,0.2413469951456656,68.0094827892529,0.0999999999999943,1.0999999999999943
Luigi,SERVER_USAGE,0.0,0.0,0.0,0.0,0.0
Luigi,WORKFLOW_USAGE,0.0,0.0,0.0,0.0,0.0
Metaflow,SERVER_USAGE,0.0,0.0,0.0,0.0,0.0
Metaflow,WORKFLOW_USAGE,0.0,0.0,0.0,0.0,0.0
Snakemake,SERVER_USAGE,0.0,0.0,0.0,0.0,0.0
Snakemake,WORKFLOW_USAGE,0.0,0.0,0.0,0.0,0.0
